ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
BJ W3_0138,2.4873,7.4396,1998,1998-01-01,1998-12-31,Landsat-5,,15782.515039447728,16691.55276134122,16715.249999999996,20973.5966469428,19436.25986193293,16620.19551282051,5896.0
BJ W3_0135,2.0336,7.4174,1998,1998-01-01,1998-12-31,Landsat-5,,10340.43959566075,10974.581360946748,10652.203402366862,17195.19033530572,14622.99482248521,11217.96646942801,5440.0
BJ W3_0143,2.4616,7.3536,1998,1998-01-01,1998-12-31,Landsat-5,,63082.78482302011,26483.72650878533,26683.10720651897,28269.005856888205,22983.606569900687,17925.09676597912,5896.0
BJ W3_0150,2.4733,7.3186,1998,1998-01-01,1998-12-31,Landsat-5,,14340.784763313608,14853.195266272187,14551.364151873766,18203.377218934915,15759.242850098619,13124.001725838265,6468.677021696254
BJ W3_0147,2.4422,7.4222,1998,1998-01-01,1998-12-31,Landsat-5,,10988.476457113766,11537.52837872232,11343.072537541359,16412.977347925676,14802.55077627895,11501.764062102315,5628.343089844743
BJ W3_0148,2.4315,7.3925,1998,1998-01-01,1998-12-31,Landsat-5,,11597.784869393792,12202.712666338099,11859.707984228688,17690.330951207496,16898.995071463778,12795.190734351898,7440.86791522918
BJ W3_0145,2.5284,7.3376,1998,1998-01-01,1998-12-31,Landsat-5,,65535.0,31376.574262461847,32208.324262461847,35349.31892166835,31967.146236012206,25801.006866734482,5896.0
BJ W3_0144,2.4107,7.3025,1998,1998-01-01,1998-12-31,Landsat-5,,65535.0,32252.056431739766,32798.555938886144,34318.19714144899,26638.877525874806,19982.146623952685,5896.0
BJ W3_0149,2.4539,7.403,1998,1998-01-01,1998-12-31,Landsat-5,,13779.21544916091,14699.998519249755,14536.100691016785,19956.85686080948,18075.57971372162,14720.632527147089,6288.241855873643
BJ W3_0157,2.1278,6.4386,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0151,2.1662,7.3918,1998,1998-01-01,1998-12-31,Landsat-5,,20802.398373983742,20967.9421039665,20873.01970928801,23240.12318305002,19695.12170485342,15718.464892830749,5896.0
BJ W3_0159,2.5812,7.4936,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0160,2.1449,6.3965,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0152,2.476,7.4401,1998,1998-01-01,1998-12-31,Landsat-5,,11692.602611480661,12067.90638088199,11640.318551367332,15464.809066272479,13053.601133284059,10682.590539541758,7553.254988913525
BJ W3_0158,2.2756,6.9311,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0156,2.5939,7.3092,1998,1998-01-01,1998-12-31,Landsat-5,,14753.609914872308,15434.912118177266,15274.424136204305,20346.16750125188,17531.47170756134,14328.153980971456,6006.98948422634
BJ W3_0163,2.2332,6.4193,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0171,2.4513,7.1698,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0174,2.5936,6.367,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0153,2.0018,7.2237,1999,1999-01-01,1999-12-31,Landsat-7,,8862.562438302075,9191.276406712735,9098.17275419546,11371.298864758144,10295.840078973348,9091.85982230997,7440.0
BJ W3_0155,2.5153,7.3701,1998,1998-01-01,1998-12-31,Landsat-5,,65535.0,31493.261212419915,32064.791030064072,34514.53523903402,27745.95983242977,21320.94233612617,5896.0
BJ W3_0177,2.5572,6.3628,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0169,2.1207,7.4318,1998,1998-01-01,1998-12-31,Landsat-5,,47577.27165062917,24210.450283740443,24672.85664939551,27311.456205280036,25332.970885763636,21469.857142857145,5896.0
