Longitude_Latitude,ProfileID
"(-16.498321163047336, 14.581278311477586)",IRD_397
"(-16.498620134872716, 14.583337230633083)",IRD_398
"(-16.49836801985026, 14.583028183054571)",IRD_399
"(-16.49887169180277, 14.582065877227025)",IRD_400
"(-16.513428262038676, 14.58480534583905)",IRD_401
"(-16.512970604085922, 14.587490072019737)",IRD_402
"(-16.51204300517725, 14.587225593929729)",IRD_403
"(-16.511037997668076, 14.587962016783997)",IRD_404
"(-16.510714827911297, 14.587517537174614)",IRD_405
"(-16.511698124821134, 14.586969037073104)",IRD_406
"(-16.51121667970275, 14.587518863902428)",IRD_407
"(-16.521149954226793, 14.605169274806952)",IRD_408
"(-16.51864459479639, 14.594239751659265)",IRD_409
"(-16.507844623502375, 14.587710770042747)",IRD_410
"(-16.507174054545573, 14.58734805097092)",IRD_411
"(-16.506699871815183, 14.588254331148095)",IRD_412
"(-16.506088471136145, 14.587788428870443)",IRD_413
"(-16.504782339213673, 14.587330744185177)",IRD_414
"(-16.50473908229135, 14.5881364441943)",IRD_415
"(-16.50755515533441, 14.591828211848899)",IRD_416
"(-16.50512510424227, 14.59127992266569)",IRD_417
"(-16.50709589635771, 14.591789851426219)",IRD_418
"(-16.50905531484667, 14.59044246383533)",IRD_419
"(-16.508032629492146, 14.591321875291653)",IRD_420
"(-16.506795228342597, 14.593327194856764)",IRD_421
"(-16.495871652343343, 14.586255186095867)",IRD_422
"(-16.499718904483867, 14.591451060925547)",IRD_423
"(-16.50016431249647, 14.590899000548008)",IRD_424
"(-16.503293709781012, 14.589007314643986)",IRD_425
"(-16.500114481074988, 14.591351379459766)",IRD_426
"(-16.504909567006333, 14.576427858068612)",IRD_427
"(-16.50549745600887, 14.579009922986053)",IRD_428
"(-16.505284079149316, 14.57927099186044)",IRD_429
"(-16.504782267721204, 14.579716448170226)",IRD_430
"(-16.50550038926371, 14.57993179982065)",IRD_431
"(-16.504709851673354, 14.576245881982306)",IRD_432
"(-16.504176226983695, 14.579293483165754)",IRD_433
"(-16.504694143610486, 14.579842167144228)",IRD_434
"(-16.50446015999224, 14.579882124982156)",IRD_435
"(-16.504320962864202, 14.58042698629713)",IRD_436
"(-16.50388961060864, 14.580662142162245)",IRD_437
"(-16.504596513558287, 14.580931295316)",IRD_438
"(-16.504544345945337, 14.581625179613066)",IRD_439
"(-16.504038443976796, 14.581758415247451)",IRD_440
"(-16.504247558914262, 14.582496868913235)",IRD_441
"(-16.504122130007318, 14.583229892956366)",IRD_442
"(-16.503680945523456, 14.573825327108187)",IRD_443
