ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,QA_PIXEL
IRD_376,-16.494355893145325,14.58378192598905,2016,2016-01-01,2016-12-31,Landsat-8,10510.207491375062,11429.80064070971,14025.570724494826,16811.994578610156,21348.13060620996,28351.33563331691,25690.599063578113,21824.0
IRD_378,-16.492943160157036,14.583270773048065,2016,2016-01-01,2016-12-31,Landsat-8,10553.304337111875,11444.12345983243,14059.99852143913,16864.140463282405,21523.35460818137,28332.033514046325,25635.119517003448,21824.0
IRD_379,-16.519886740129657,14.619309185842205,2016,2016-01-01,2016-12-31,Landsat-8,10012.612577065353,10678.658939580768,12475.443649815046,14402.977558569672,18346.43452527744,26055.116892725036,23580.62564734896,21824.0
IRD_377,-16.49351509891873,14.585116421437426,2016,2016-01-01,2016-12-31,Landsat-8,10658.921914357685,11535.42392947103,14183.585390428208,17027.44458438287,21599.947607052898,28540.634760705292,26166.750125944578,21824.0
IRD_380,-16.519278880250933,14.62118806252384,2016,2016-01-01,2016-12-31,Landsat-8,9943.132870599902,10713.72434308379,12638.72335151215,14809.25954387705,18941.59147248389,26598.196579077838,23693.87630143778,21824.0
IRD_381,-16.518984641699664,14.621464161483622,2016,2016-01-01,2016-12-31,Landsat-8,9948.191919191922,10738.151022419317,12723.539295392955,14965.010101010104,19153.403794037942,26713.25498891353,23765.965262379897,21824.0
IRD_382,-16.51849977612107,14.621863217952274,2016,2016-01-01,2016-12-31,Landsat-8,9972.679730404388,10765.95956065901,12816.13704443335,15113.526709935097,19294.389166250625,26784.666999500747,23878.53519720419,21824.0
IRD_383,-16.51848756674198,14.622911619078003,2016,2016-01-01,2016-12-31,Landsat-8,9798.421832551248,10578.9298592245,12545.633242775993,14719.334897505558,18885.95702642628,26182.170412447518,23211.754013336627,21824.0
IRD_384,-16.506209034713134,14.583361627828964,2016,2016-01-01,2016-12-31,Landsat-8,10488.816210889385,11387.735895540774,14013.050012318308,16925.370288248338,21639.39221483124,28123.809559004687,25430.001478196602,21824.0
IRD_387,-16.506204249188873,14.584365300814754,2016,2016-01-01,2016-12-31,Landsat-8,10599.951923076922,11410.555473372779,13956.22386587771,16872.337278106508,21408.650394477314,28394.881410256403,25913.482741617354,21824.0
IRD_386,-16.506480047491472,14.58468769001702,2016,2016-01-01,2016-12-31,Landsat-8,10634.633893280636,11427.798666007911,13935.4540513834,16907.355237154155,21364.89624505929,28463.086215415027,26053.063488142296,21824.0
IRD_385,-16.507232396260818,14.5843046891499,2016,2016-01-01,2016-12-31,Landsat-8,10559.811390532543,11348.609467455623,13807.583333333336,16716.642998027615,21278.791173570018,28038.168392504933,25429.228796844178,21824.0
IRD_388,-16.504977169466557,14.58448973837427,2016,2016-01-01,2016-12-31,Landsat-8,10591.20941118502,11443.915496427691,14036.527716186252,16918.50554323725,21553.9578713969,28296.708302537572,25830.87657058388,21824.0
IRD_391,-16.50770482218457,14.585088160714822,2016,2016-01-01,2016-12-31,Landsat-8,10581.712366260264,11332.214730032347,13817.558596665838,16832.83304304553,21530.382433441155,28119.136103508336,25449.07215725305,21824.0
IRD_389,-16.507826936605365,14.583921520692027,2016,2016-01-01,2016-12-31,Landsat-8,10549.104705592512,11366.769154964277,13920.755604828777,16865.07489529441,21422.288987435324,28091.33308696724,25518.957132298594,21824.0
IRD_390,-16.507736256221946,14.580412311424103,2016,2016-01-01,2016-12-31,Landsat-8,9815.386951066499,10648.095357590966,12751.746800501878,14825.129987452945,19644.349309912166,26059.569636135504,23033.63387703889,21824.0
IRD_392,-16.507547804128322,14.582463600715624,2016,2016-01-01,2016-12-31,Landsat-8,10379.399260172626,11240.44167694204,13742.891245376077,16475.039950678172,21156.384956843405,27854.258692971634,25175.15906288532,21824.0
IRD_393,-16.50756230739923,14.579229467792619,2016,2016-01-01,2016-12-31,Landsat-8,9955.510707986901,10820.118165784832,13012.914588057443,15293.22272612749,19804.349206349216,26711.83875031495,23884.90098261527,21824.0
IRD_394,-16.499111970433937,14.583120541434369,2016,2016-01-01,2016-12-31,Landsat-8,10119.456628881224,10983.333661902416,13276.910547067524,15668.158206012815,20189.87013307047,27257.415722030564,24694.383440118287,21824.0
IRD_395,-16.498233579055803,14.582323401331731,2016,2016-01-01,2016-12-31,Landsat-8,9924.806896551723,10739.87142857143,12851.01921182266,14967.678078817738,19297.795812807886,26632.459113300498,23777.345320197048,21824.0
IRD_396,-16.498180363790514,14.582678896637448,2016,2016-01-01,2016-12-31,Landsat-8,9922.773689516127,10759.212449596773,12884.34299395161,15052.96043346774,19330.81930443548,26778.011592741936,23899.129788306444,21824.0
IRD_397,-16.498321163047336,14.581278311477586,2016,2016-01-01,2016-12-31,Landsat-8,9991.627987188966,10852.739098300073,13094.16383345652,15442.820399113083,19975.514905149048,27098.226903178118,24391.662724809066,21824.0
IRD_399,-16.49836801985026,14.583028183054571,2016,2016-01-01,2016-12-31,Landsat-8,9949.547853971388,10782.061914158852,12942.473359644791,15154.230636408485,19528.691415885543,26842.244449926002,24091.457819437594,21824.0
IRD_398,-16.498620134872716,14.583337230633083,2016,2016-01-01,2016-12-31,Landsat-8,10026.148458692971,10873.366214549935,13099.123551171393,15399.324537607894,19912.071516646112,27027.91565967941,24413.123057953144,21824.0
IRD_400,-16.49887169180277,14.582065877227025,2016,2016-01-01,2016-12-31,Landsat-8,9849.878521126762,10684.66146881288,12850.323943661971,15091.786468812878,19602.577213279677,26687.905432595573,23989.888329979884,21824.0
IRD_401,-16.513428262038676,14.58480534583905,2016,2016-01-01,2016-12-31,Landsat-8,10197.652688702517,10979.462999506659,13278.578934385792,15847.954612728172,20544.242969906267,26780.558954119395,24239.168475579674,21824.0
IRD_403,-16.51204300517725,14.587225593929729,2016,2016-01-01,2016-12-31,Landsat-8,9706.83908329226,10562.684327254805,12713.065303104975,14858.759487432231,19999.081074420897,25275.60128141942,22553.087974371614,21824.0
IRD_402,-16.512970604085922,14.587490072019737,2016,2016-01-01,2016-12-31,Landsat-8,10021.608770633158,10885.14338507021,13120.547425474253,15477.84848484848,20094.704114313867,26971.120473022904,24352.783690564178,21824.0
IRD_404,-16.511037997668076,14.587962016783997,2016,2016-01-01,2016-12-31,Landsat-8,9802.775806848975,10683.702636117272,12893.790096082777,15207.852673072184,20162.054446908107,26453.10667652131,23400.986203498396,21824.0
IRD_405,-16.510714827911297,14.587517537174614,2016,2016-01-01,2016-12-31,Landsat-8,9973.052135054617,10913.633565044687,13223.541708043698,15599.472442899703,20394.9004468719,27004.794935451842,24112.326961271105,21824.0
